"Date","Open","High","Low","Close*","Adj Close**","Volume"
"Mar 19, 2020","2,393.48","2,466.97","2,319.78","2,409.39","2,409.39","262,777,088"
"Mar 18, 2020","2,436.50","2,453.57","2,280.52","2,398.10","2,398.10","8,755,780,000"
"Mar 17, 2020","2,425.66","2,553.93","2,367.04","2,529.19","2,529.19","8,358,500,000"
"Mar 16, 2020","2,508.59","2,562.98","2,380.94","2,386.13","2,386.13","7,781,540,000"
"Mar 13, 2020","2,569.99","2,711.33","2,492.37","2,711.02","2,711.02","8,258,670,000"
"Mar 12, 2020","2,630.86","2,660.95","2,478.86","2,480.64","2,480.64","8,829,380,000"
"Mar 11, 2020","2,825.60","2,825.60","2,707.22","2,741.38","2,741.38","7,374,110,000"
"Mar 10, 2020","2,813.48","2,882.59","2,734.00","2,882.23","2,882.23","7,635,960,000"
"Mar 09, 2020","2,863.89","2,863.89","2,734.43","2,746.56","2,746.56","8,423,050,000"
"Mar 06, 2020","2,954.20","2,985.93","2,901.54","2,972.37","2,972.37","6,552,140,000"
"Mar 05, 2020","3,075.70","3,083.04","2,999.83","3,023.94","3,023.94","5,575,550,000"
"Mar 04, 2020","3,045.75","3,130.97","3,034.38","3,130.12","3,130.12","5,035,480,000"
"Mar 03, 2020","3,096.46","3,136.72","2,976.63","3,003.37","3,003.37","6,355,940,000"
"Mar 02, 2020","2,974.28","3,090.96","2,945.19","3,090.23","3,090.23","6,376,400,000"
"Feb 28, 2020","2,916.90","2,959.72","2,855.84","2,954.22","2,954.22","8,563,850,000"
"Feb 27, 2020","3,062.54","3,097.07","2,977.39","2,978.76","2,978.76","7,058,840,000"
"Feb 26, 2020","3,139.90","3,182.51","3,108.99","3,116.39","3,116.39","5,478,110,000"
"Feb 25, 2020","3,238.94","3,246.99","3,118.77","3,128.21","3,128.21","5,591,510,000"
"Feb 24, 2020","3,257.61","3,259.81","3,214.65","3,225.89","3,225.89","4,842,960,000"
"Feb 21, 2020","3,360.50","3,360.76","3,328.45","3,337.75","3,337.75","3,899,270,000"
"Feb 20, 2020","3,380.45","3,389.15","3,341.02","3,373.23","3,373.23","4,007,320,000"
"Feb 19, 2020","3,380.39","3,393.52","3,378.83","3,386.15","3,386.15","3,600,150,000"
"Feb 18, 2020","3,369.04","3,375.01","3,355.61","3,370.29","3,370.29","3,746,720,000"
"Feb 14, 2020","3,378.08","3,380.69","3,366.15","3,380.16","3,380.16","3,398,040,000"
"Feb 13, 2020","3,365.90","3,385.09","3,360.52","3,373.94","3,373.94","3,498,240,000"
"Feb 12, 2020","3,370.50","3,381.47","3,369.72","3,379.45","3,379.45","3,926,380,000"
"Feb 11, 2020","3,365.87","3,375.63","3,352.72","3,357.75","3,357.75","3,760,550,000"
"Feb 10, 2020","3,318.28","3,352.26","3,317.77","3,352.09","3,352.09","3,450,350,000"
"Feb 07, 2020","3,335.54","3,341.42","3,322.12","3,327.71","3,327.71","3,730,650,000"
"Feb 06, 2020","3,344.92","3,347.96","3,334.39","3,345.78","3,345.78","3,868,370,000"
"Feb 05, 2020","3,324.91","3,337.58","3,313.75","3,334.69","3,334.69","4,117,730,000"
"Feb 04, 2020","3,280.61","3,306.92","3,280.61","3,297.59","3,297.59","3,995,320,000"
"Feb 03, 2020","3,235.66","3,268.44","3,235.66","3,248.92","3,248.92","3,757,910,000"
"Jan 31, 2020","3,282.33","3,282.33","3,214.68","3,225.52","3,225.52","4,527,830,000"
"Jan 30, 2020","3,256.45","3,285.91","3,242.80","3,283.66","3,283.66","3,787,250,000"
"Jan 29, 2020","3,289.46","3,293.47","3,271.89","3,273.40","3,273.40","3,584,500,000"
"Jan 28, 2020","3,255.35","3,285.78","3,253.22","3,276.24","3,276.24","3,526,720,000"
"Jan 27, 2020","3,247.16","3,258.85","3,234.50","3,243.63","3,243.63","3,823,100,000"
"Jan 24, 2020","3,333.10","3,333.18","3,281.53","3,295.47","3,295.47","3,707,130,000"
"Jan 23, 2020","3,315.77","3,326.88","3,301.87","3,325.54","3,325.54","3,764,860,000"
"Jan 22, 2020","3,330.02","3,337.77","3,320.04","3,321.75","3,321.75","3,619,850,000"
"Jan 21, 2020","3,321.03","3,329.79","3,316.61","3,320.79","3,320.79","4,105,340,000"
"Jan 17, 2020","3,323.66","3,329.88","3,318.86","3,329.62","3,329.62","3,698,170,000"
"Jan 16, 2020","3,302.97","3,317.11","3,302.82","3,316.81","3,316.81","3,535,080,000"
"Jan 15, 2020","3,282.27","3,298.66","3,280.69","3,289.29","3,289.29","3,716,840,000"
"Jan 14, 2020","3,285.35","3,294.25","3,277.19","3,283.15","3,283.15","3,665,130,000"
"Jan 13, 2020","3,271.13","3,288.13","3,268.43","3,288.13","3,288.13","3,456,380,000"
"Jan 10, 2020","3,281.81","3,282.99","3,260.86","3,265.35","3,265.35","3,212,970,000"
"Jan 09, 2020","3,266.03","3,275.58","3,263.67","3,274.70","3,274.70","3,638,390,000"
"Jan 08, 2020","3,238.59","3,267.07","3,236.67","3,253.05","3,253.05","3,720,890,000"
"Jan 07, 2020","3,241.86","3,244.91","3,232.43","3,237.18","3,237.18","3,420,380,000"
"Jan 06, 2020","3,217.55","3,246.84","3,214.64","3,246.28","3,246.28","3,674,070,000"
"Jan 03, 2020","3,226.36","3,246.15","3,222.34","3,234.85","3,234.85","3,461,290,000"
"Jan 02, 2020","3,244.67","3,258.14","3,235.53","3,257.85","3,257.85","3,458,250,000"
"Dec 31, 2019","3,215.18","3,231.72","3,212.03","3,230.78","3,230.78","2,893,810,000"
"Dec 30, 2019","3,240.09","3,240.92","3,216.57","3,221.29","3,221.29","3,013,290,000"
"Dec 27, 2019","3,247.23","3,247.93","3,234.37","3,240.02","3,240.02","2,428,670,000"
"Dec 26, 2019","3,227.20","3,240.08","3,227.20","3,239.91","3,239.91","2,160,680,000"
"Dec 24, 2019","3,225.45","3,226.43","3,220.51","3,223.38","3,223.38","1,296,540,000"
"Dec 23, 2019","3,226.05","3,227.78","3,222.30","3,224.01","3,224.01","3,060,610,000"
"Dec 20, 2019","3,223.33","3,225.65","3,216.03","3,221.22","3,221.22","6,454,270,000"
"Dec 19, 2019","3,192.32","3,205.48","3,192.32","3,205.37","3,205.37","3,720,450,000"
"Dec 18, 2019","3,195.21","3,198.48","3,191.14","3,191.14","3,191.14","4,014,080,000"
"Dec 17, 2019","3,195.40","3,198.22","3,191.03","3,192.52","3,192.52","3,837,540,000"
"Dec 16, 2019","3,183.63","3,197.71","3,183.63","3,191.45","3,191.45","4,051,790,000"
"Dec 13, 2019","3,166.65","3,182.68","3,156.51","3,168.80","3,168.80","3,736,870,000"
"Dec 12, 2019","3,141.23","3,176.28","3,138.47","3,168.57","3,168.57","3,990,690,000"
"Dec 11, 2019","3,135.75","3,143.98","3,133.21","3,141.63","3,141.63","3,252,540,000"
"Dec 10, 2019","3,135.36","3,142.12","3,126.09","3,132.52","3,132.52","3,343,790,000"
"Dec 09, 2019","3,141.86","3,148.87","3,135.46","3,135.96","3,135.96","3,345,990,000"
"Dec 06, 2019","3,134.62","3,150.60","3,134.62","3,145.91","3,145.91","3,479,480,000"
"Dec 05, 2019","3,119.21","3,119.45","3,103.76","3,117.43","3,117.43","3,355,750,000"
"Dec 04, 2019","3,103.50","3,119.38","3,102.53","3,112.76","3,112.76","3,695,030,000"
"Dec 03, 2019","3,087.41","3,094.97","3,070.33","3,093.20","3,093.20","3,653,390,000"
"Dec 02, 2019","3,143.85","3,144.31","3,110.78","3,113.87","3,113.87","3,268,740,000"
"Nov 29, 2019","3,147.18","3,150.30","3,139.34","3,140.98","3,140.98","1,743,020,000"
"Nov 27, 2019","3,145.49","3,154.26","3,143.41","3,153.63","3,153.63","3,033,090,000"
"Nov 26, 2019","3,134.85","3,142.69","3,131.00","3,140.52","3,140.52","4,595,590,000"
"Nov 25, 2019","3,117.44","3,133.83","3,117.44","3,133.64","3,133.64","3,511,530,000"
"Nov 22, 2019","3,111.41","3,112.87","3,099.26","3,110.29","3,110.29","3,226,780,000"
"Nov 21, 2019","3,108.49","3,110.11","3,094.55","3,103.54","3,103.54","3,720,560,000"
"Nov 20, 2019","3,114.66","3,118.97","3,091.41","3,108.46","3,108.46","4,034,890,000"
"Nov 19, 2019","3,127.45","3,127.64","3,113.47","3,120.18","3,120.18","3,590,070,000"
"Nov 18, 2019","3,117.91","3,124.17","3,112.06","3,122.03","3,122.03","3,436,690,000"
"Nov 15, 2019","3,107.92","3,120.46","3,104.60","3,120.46","3,120.46","3,335,650,000"
"Nov 14, 2019","3,090.75","3,098.20","3,083.26","3,096.63","3,096.63","3,276,070,000"
"Nov 13, 2019","3,084.18","3,098.06","3,078.80","3,094.04","3,094.04","3,509,280,000"
"Nov 12, 2019","3,089.28","3,102.61","3,084.73","3,091.84","3,091.84","3,466,010,000"
"Nov 11, 2019","3,080.33","3,088.33","3,075.82","3,087.01","3,087.01","3,035,530,000"
"Nov 08, 2019","3,081.25","3,093.09","3,073.58","3,093.08","3,093.08","3,499,150,000"
"Nov 07, 2019","3,087.02","3,097.77","3,080.23","3,085.18","3,085.18","4,144,640,000"
"Nov 06, 2019","3,075.10","3,078.34","3,065.89","3,076.78","3,076.78","4,458,190,000"
"Nov 05, 2019","3,080.80","3,083.95","3,072.15","3,074.62","3,074.62","4,486,130,000"
"Nov 04, 2019","3,078.96","3,085.20","3,074.87","3,078.27","3,078.27","4,146,850,000"
"Nov 01, 2019","3,050.72","3,066.95","3,050.72","3,066.91","3,066.91","3,930,200,000"
"Oct 31, 2019","3,046.90","3,046.90","3,023.19","3,037.56","3,037.56","4,139,280,000"
"Oct 30, 2019","3,039.74","3,050.10","3,025.96","3,046.77","3,046.77","3,776,030,000"
"Oct 29, 2019","3,035.39","3,047.87","3,034.81","3,036.89","3,036.89","3,589,930,000"
"Oct 28, 2019","3,032.12","3,044.08","3,032.12","3,039.42","3,039.42","3,521,230,000"
"Oct 25, 2019","3,003.32","3,027.39","3,001.94","3,022.55","3,022.55","3,370,370,000"
